iter	Accuracy	Logloss
258	0.6706143248	0.603582124
259	0.6704727753	0.6034644945
260	0.6708030575	0.6032879649
261	0.6708974238	0.6031879589
262	0.6713692554	0.6031006422
263	0.6711805228	0.6029811649
264	0.6713220723	0.6028510904
265	0.6712748891	0.6027594705
266	0.6717467208	0.6025723271
267	0.6721241861	0.602400957
268	0.6720770029	0.6022539472
269	0.6721241861	0.6021160152
270	0.6723601019	0.601962572
271	0.6726432009	0.6018739507
272	0.6725960177	0.6017322747
273	0.6724544682	0.6015374295
274	0.6726903841	0.6014656466
275	0.6727375672	0.6013760525
276	0.6728319336	0.6012724234
277	0.6728791167	0.6011499781
278	0.6727375672	0.6010475322
279	0.6732565821	0.6008943434
280	0.6733981315	0.6007957421
281	0.6730206662	0.6006884035
282	0.6728791167	0.6006045776
283	0.6731150326	0.6005175838
284	0.6732093989	0.6004081106
285	0.673539681	0.6002195414
286	0.6735868642	0.6001275033
287	0.6741530622	0.6000123614
288	0.6745305275	0.5999283046
289	0.6744833443	0.5998246137
290	0.674672077	0.5997084912
291	0.6744361612	0.5995873672
292	0.6748136265	0.5993796223
293	0.6748608097	0.5991950808
294	0.6750023592	0.5990815804
295	0.6750023592	0.5989693439
296	0.6751910918	0.598915345
297	0.6756157403	0.5986977003
298	0.6756157403	0.5986136804
299	0.6758988393	0.5984752562
300	0.6759932056	0.598360067
301	0.676087572	0.5982267126
302	0.6767009531	0.5981546544
303	0.6766065868	0.5980516477
304	0.6768425026	0.5979229591
305	0.6772671511	0.5978205539
306	0.6774558837	0.5977277636
307	0.6774087006	0.5976227391
308	0.6779277154	0.5975247895
309	0.6779277154	0.5973931062
310	0.6781164481	0.5973196048
311	0.6783523639	0.597184537
312	0.6782579975	0.5970700476
313	0.6781164481	0.596957021
314	0.6787298292	0.5968274009
315	0.6785882797	0.59663297
316	0.6789185619	0.5964880649
317	0.6788241955	0.5962900289
318	0.6792960272	0.5961335634
319	0.6793432103	0.5959981615
320	0.6792960272	0.5958921463
321	0.679248844	0.5957782501
322	0.6792016608	0.5956962042
323	0.6792960272	0.5956306612
324	0.6794375767	0.5955249434
325	0.6797206757	0.5954527363
326	0.679815042	0.5953529355
327	0.6800037747	0.5952372467
328	0.6801453241	0.5951228414
329	0.680098141	0.5949552462
330	0.6805227895	0.594829284
331	0.6805699726	0.5947219413
332	0.6803340568	0.5946524158
333	0.6808530716	0.5945095694
334	0.6809002548	0.5943995684
335	0.6808530716	0.5942326071
336	0.6808530716	0.5940825104
337	0.6812305369	0.5939219642
338	0.6816080023	0.5938112371
339	0.6817023686	0.593679973
340	0.6816551854	0.5935339093
341	0.6816551854	0.593460983
342	0.6817495518	0.5933768192
343	0.6821270171	0.5932708692
344	0.6821742002	0.5931692837
345	0.6824101161	0.5930857359
346	0.6824101161	0.5929699635
347	0.6823157497	0.5928596178
348	0.6823629329	0.5927040367
349	0.6823629329	0.5925645846
350	0.6827875814	0.5924554906
351	0.683259413	0.5922345551
352	0.6834481457	0.5921345349
353	0.683825611	0.5920001225
354	0.6840615268	0.5919019465
355	0.68410871	0.5918300823
